step,pred_type-alpha\alpha,pred_type-alpha\multibin,pred_type-alpha\rot_y,pred_type-alpha\single_bin,pred_type-alpha\tricosine,pred_type-alpha\voting_bin,pred_type-rot_y\multibin,pred_type-rot_y\rot_y,pred_type-rot_y\single_bin,pred_type-rot_y\tricosine,pred_type-rot_y\voting_bin
0,1.4725240468978882,-30.163808822631836,1.4853541851043701,0.48652487993240356,0.4974718987941742,0.5012271404266357,0.8518275022506714,1.4537527561187744,0.5008913278579712,0.4680728316307068,0.47907260060310364
1,1.3282043933868408,-32.688232421875,1.3832082748413086,0.39657464623451233,0.414700448513031,0.44600796699523926,0.7056464552879333,1.3286926746368408,0.41114744544029236,0.3845783770084381,0.40690305829048157
2,1.1925148963928223,-33.99870300292969,1.3339924812316895,0.36394745111465454,0.37561509013175964,0.3976752758026123,0.6477018594741821,1.2174491882324219,0.37640300393104553,0.35009920597076416,0.3712930977344513
3,1.0359156131744385,-34.81636428833008,1.274674415588379,0.32345789670944214,0.34681251645088196,0.3608112037181854,0.5950837135314941,1.0605441331863403,0.3426203727722168,0.31979867815971375,0.3451032042503357
4,0.893128514289856,-35.65475082397461,1.180920958518982,0.2946934401988983,0.3194062113761902,0.33405616879463196,0.5644891858100891,0.9432585835456848,0.32267042994499207,0.2947636842727661,0.3204202950000763
5,0.7555769681930542,-36.28282928466797,1.0669020414352417,0.2660292983055115,0.29581019282341003,0.30542299151420593,0.5206292271614075,0.8166942596435547,0.298137903213501,0.2706267833709717,0.3000238239765167
6,0.6292024850845337,-37.05152130126953,0.940716564655304,0.2368372082710266,0.26485633850097656,0.273017019033432,0.48092371225357056,0.7092447876930237,0.27381446957588196,0.24589098989963531,0.2760818600654602
7,0.5428990721702576,-37.788639068603516,0.8275840878486633,0.20648343861103058,0.2415076047182083,0.24529822170734406,0.43977776169776917,0.617890477180481,0.2474907785654068,0.21414902806282043,0.25439637899398804
8,0.4562818109989166,-38.23735427856445,0.7259300947189331,0.1839158535003662,0.2166350930929184,0.2216375470161438,0.42223525047302246,0.5369547009468079,0.21359753608703613,0.18375776708126068,0.22932064533233643
9,0.39872121810913086,-39.148170471191406,0.6514774560928345,0.15530115365982056,0.1967414766550064,0.18995042145252228,0.38308045268058777,0.4783375859260559,0.19236432015895844,0.1563548892736435,0.20277844369411469
10,0.33906689286231995,-39.77065658569336,0.5655400156974792,0.14944569766521454,0.16706787049770355,0.1669212430715561,0.3264496922492981,0.42260074615478516,0.1649160236120224,0.1351729929447174,0.17635735869407654
11,0.296663761138916,-40.43570327758789,0.5012994408607483,0.12153663486242294,0.152505561709404,0.1589348167181015,0.2932462990283966,0.36575087904930115,0.14347907900810242,0.11911122500896454,0.14957410097122192
12,0.2556390166282654,-40.72956466674805,0.44595223665237427,0.12382741272449493,0.14392748475074768,0.15198642015457153,0.2592795789241791,0.3254510462284088,0.13312168419361115,0.10083682835102081,0.13139833509922028
13,0.21775837242603302,-40.826934814453125,0.3967371881008148,0.10466384142637253,0.12906204164028168,0.14740318059921265,0.22300466895103455,0.2879742980003357,0.1287921667098999,0.09078750014305115,0.11791291832923889
14,0.19810782372951508,-41.43287658691406,0.34691816568374634,0.0879732295870781,0.1046835258603096,0.1196063980460167,0.19026869535446167,0.2620566189289093,0.10723285377025604,0.07950346171855927,0.10419068485498428
15,0.17987221479415894,-42.15811538696289,0.3128383755683899,0.08079934120178223,0.09980940073728561,0.09991562366485596,0.17348051071166992,0.23406405746936798,0.09394370764493942,0.07144716382026672,0.08679257333278656
16,0.1637134999036789,-41.872283935546875,0.29125747084617615,0.10240023583173752,0.09712794423103333,0.11032622307538986,0.19783735275268555,0.20092591643333435,0.09454500675201416,0.06719030439853668,0.07698064297437668
17,0.14398086071014404,-42.208438873291016,0.24055272340774536,0.08079276978969574,0.0778401792049408,0.0841999351978302,0.14513882994651794,0.19157063961029053,0.09859107434749603,0.06037469580769539,0.06882869452238083
18,0.1381843239068985,-43.23343276977539,0.2283291220664978,0.0872616171836853,0.0794733464717865,0.0862724706530571,0.22299915552139282,0.1652877926826477,0.07322657853364944,0.05093934014439583,0.06730420887470245
19,0.12324681133031845,-43.734336853027344,0.21298417448997498,0.06205502524971962,0.0707031860947609,0.07111156731843948,0.150916188955307,0.15979300439357758,0.0693538710474968,0.051217515021562576,0.07056174427270889
20,0.12308481335639954,-43.9617805480957,0.20026060938835144,0.05272679030895233,0.0747448056936264,0.0664966031908989,0.11362791806459427,0.14134109020233154,0.06379451602697372,0.045695312321186066,0.05180269107222557
21,0.10488057881593704,-43.368316650390625,0.16870549321174622,0.06627700477838516,0.07690856605768204,0.05608028545975685,0.10042878240346909,0.13240623474121094,0.057323895394802094,0.04592110961675644,0.048916421830654144
22,0.1019684225320816,-44.12397766113281,0.18080836534500122,0.04204818606376648,0.08257778733968735,0.07089566439390182,0.10314328223466873,0.12216289341449738,0.0788429006934166,0.04223301261663437,0.0460229367017746
23,0.1027338057756424,-44.57887649536133,0.17022381722927094,0.04307692125439644,0.06891536712646484,0.04807382822036743,0.09405352175235748,0.1273602545261383,0.06027949973940849,0.03805973008275032,0.0485384538769722
24,0.08886311948299408,-45.083961486816406,0.15820813179016113,0.04445285722613335,0.05397213250398636,0.04794400557875633,0.09300737082958221,0.11221924424171448,0.04630731791257858,0.04243370145559311,0.04397383704781532
25,0.09969443082809448,-44.81815719604492,0.13779567182064056,0.0638631209731102,0.04282915219664574,0.04646141827106476,0.08404937386512756,0.09983611106872559,0.08927762508392334,0.03222488984465599,0.05356372147798538
26,0.08681639283895493,-44.610294342041016,0.14332644641399384,0.044589489698410034,0.03689855709671974,0.04574579745531082,0.0812501460313797,0.09811009466648102,0.055662233382463455,0.03806592524051666,0.034001339226961136
27,0.09482532739639282,-44.82923126220703,0.15062552690505981,0.0666050910949707,0.07477110624313354,0.07338102906942368,0.07748670876026154,0.09023640304803848,0.04573926702141762,0.03535037487745285,0.03430808708071709
28,0.071779265999794,-45.234439849853516,0.13406126201152802,0.033837608993053436,0.05523895099759102,0.10295509546995163,0.07958344370126724,0.0986548587679863,0.03888991102576256,0.031949300318956375,0.03695852309465408
29,0.07038545608520508,-45.80854415893555,0.10206945240497589,0.030869200825691223,0.043232664465904236,0.04627932608127594,0.07381375879049301,0.08856788277626038,0.046067334711551666,0.029138624668121338,0.04268325865268707
30,0.08426566421985626,-46.12274169921875,0.10448161512613297,0.04055457189679146,0.0404403880238533,0.03232213482260704,0.07384665310382843,0.0828249379992485,0.03701246902346611,0.059690579771995544,0.03382052481174469
31,0.06735927611589432,-46.27592849731445,0.10879459977149963,0.035162489861249924,0.033485569059848785,0.029068084433674812,0.06481767445802689,0.08296198397874832,0.06370656192302704,0.026842547580599785,0.03157462924718857
32,0.08042584359645844,-46.04971694946289,0.10567698627710342,0.051024213433265686,0.04392523318529129,0.029584301635622978,0.0701955184340477,0.08676349371671677,0.07271644473075867,0.021112501621246338,0.03717140853404999
33,0.05878184735774994,-46.64430236816406,0.08948947489261627,0.027773214504122734,0.06128854677081108,0.03910135105252266,0.058508701622486115,0.06578220427036285,0.03827449679374695,0.020960085093975067,0.025303533300757408
34,0.049460120499134064,-46.78534698486328,0.10573288798332214,0.05392785370349884,0.048133112490177155,0.04289472475647926,0.07000186294317245,0.0660485327243805,0.04190225154161453,0.023444155231118202,0.028090203180909157
35,0.05928819254040718,-46.280250549316406,0.09507802128791809,0.02450466901063919,0.03429393097758293,0.03790849819779396,0.05879140645265579,0.06906086951494217,0.050391849130392075,0.02440449222922325,0.027624888345599174
36,0.07036589086055756,-46.69404983520508,0.11336862295866013,0.01965184696018696,0.04636049270629883,0.03886394947767258,0.05105412006378174,0.07963698357343674,0.033046312630176544,0.02957664057612419,0.04151756316423416
37,0.06993204355239868,-46.918052673339844,0.09339755028486252,0.024178648367524147,0.03898356109857559,0.028234966099262238,0.05807763338088989,0.05702471733093262,0.02502702735364437,0.02669634111225605,0.027446694672107697
38,0.05270841345191002,-47.265777587890625,0.06715884059667587,0.027071915566921234,0.03232862800359726,0.028866099193692207,0.04937708005309105,0.06043324992060661,0.06174551323056221,0.02120603434741497,0.01801323890686035
39,0.04931079223752022,-46.663063049316406,0.10437849164009094,0.02278866060078144,0.030042795464396477,0.06411751359701157,0.045169398188591,0.06633488833904266,0.08211591839790344,0.027623260393738747,0.018958495929837227
40,0.05492721125483513,-47.57185745239258,0.08788768202066422,0.03782763332128525,0.03448109328746796,0.032538414001464844,0.0568014532327652,0.044105567038059235,0.042217954993247986,0.021077198907732964,0.022648470476269722
41,0.05779454484581947,-47.415618896484375,0.06886184960603714,0.02301374264061451,0.03951855003833771,0.03951256722211838,0.049116987735033035,0.06380707025527954,0.030512958765029907,0.025005513802170753,0.028326286002993584
42,0.052485041320323944,-47.64724349975586,0.07124672085046768,0.02429131232202053,0.03620894253253937,0.028938908129930496,0.043111786246299744,0.06329503655433655,0.03168304264545441,0.023392964154481888,0.022790171205997467
43,0.04101623222231865,-47.62504577636719,0.07780126482248306,0.05296729505062103,0.028864989057183266,0.027648665010929108,0.052316322922706604,0.047986820340156555,0.025384215638041496,0.023934176191687584,0.02533314935863018
44,0.05613703653216362,-47.83623123168945,0.0809544175863266,0.02287754788994789,0.04668805003166199,0.029024941846728325,0.04157830402255058,0.060307446867227554,0.0811469629406929,0.020143572241067886,0.023672617971897125
45,0.06505020707845688,-47.48491287231445,0.07669714093208313,0.017817767336964607,0.028172479942440987,0.028682203963398933,0.042529892176389694,0.0452239029109478,0.03640945628285408,0.021990206092596054,0.02290596067905426
46,0.04596143588423729,-46.995574951171875,0.06314545124769211,0.019137678667902946,0.022583022713661194,0.025353126227855682,0.04062367603182793,0.057809680700302124,0.02673940360546112,0.02318456582725048,0.021725155413150787
47,0.049863532185554504,-48.01845169067383,0.06255967170000076,0.01899115927517414,0.03688735142350197,0.025316419079899788,0.04636344313621521,0.04915597662329674,0.020314931869506836,0.018789993599057198,0.02153417095541954
48,0.044365860521793365,-47.601322174072266,0.06828896701335907,0.022631436586380005,0.023198865354061127,0.04051010310649872,0.042541999369859695,0.03473760932683945,0.01998438499867916,0.019135089591145515,0.024164089933037758
