step,logs/rot-y_tricosine_with_depth_map,logs/rot-y_single-bin_with_depth_map
0,0.610208511,0.59799999
1,0.699988246,0.691075146
2,0.735390782,0.724880755
3,0.759384692,0.752826571
4,0.778771818,0.775126517
5,0.79977715,0.79718715
6,0.824632227,0.82282418
7,0.855092466,0.849672794
8,0.881225467,0.876689911
9,0.905218244,0.898693621
10,0.922062993,0.915166497
11,0.934307575,0.929464936
12,0.941685915,0.938831568
13,0.951173484,0.940757155
14,0.958399355,0.95658958
15,0.963107407,0.960012078
16,0.965692043,0.96905762
17,0.97117281,0.96406585
18,0.972491682,0.972022474
19,0.97586298,0.975752592
20,0.974893689,0.97424674
21,0.980752945,0.981550515
22,0.978730142,0.977288902
23,0.981268823,0.972343564
24,0.981686294,0.980961263
25,0.981598914,0.986023784
26,0.986168325,0.975638747
27,0.985016704,0.989095688
28,0.983596265,0.9866997
29,0.983947575,0.987739205
30,0.986483932,0.983419001
31,0.988218546,0.987730324
32,0.987547338,0.990035772
33,0.985975742,0.987693787
34,0.987820208,0.988915503
35,0.987482965,0.987937033
36,0.989933491,0.987992108
37,0.988451481,0.990054488
38,0.988244474,0.991760552
39,0.988225937,0.988017678
40,0.990626156,0.989088237
41,0.990100682,0.992266059
42,0.990115166,0.991839468
43,0.991004229,0.990129232
44,0.98970753,0.991141617
45,0.991328597,0.989727855
46,0.990411103,0.992549956
47,0.990727067,0.994389951
48,0.990383089,0.989602745
49,0.992604613,0.991878629
50,0.99390763,0.994144797
51,0.992083549,0.992326617
52,0.990399122,0.992854297
53,0.993846059,0.991734862
54,0.99215579,0.993388832
55,0.990707397,0.992494106
56,0.992483139,0.992225111
57,0.991666973,0.992885709
58,0.991720736,0.995117545
59,0.995017648,0.994860768
60,0.994175673,0.993461728
61,0.993332267,0.992841601
62,0.990953624,0.995255411
63,0.99370712,0.995122433
64,0.992447257,0.992684722
65,0.993704796,0.993804753
66,0.992310762,0.99431318
67,0.993100047,0.993340135
68,0.994466066,0.992836952
69,0.993189812,0.995063245
70,0.993593633,0.995231271
71,0.994385898,0.994765699
72,0.995419621,0.993513823
73,0.991907418,0.994346023
74,0.994598329,0.994291425
75,0.996650338,0.996136546
76,0.996421218,0.994149864
77,0.99076438,0.994753003
78,0.994440258,0.994188309
79,0.994856596,0.983153164
80,0.993789315,0.994847894
81,0.994407475,0.995730579
82,0.995998383,0.996606469
83,0.996636748,0.997091949
84,0.994364202,0.990490437
85,0.992696941,0.99540025
86,0.99559474,0.995775521
87,0.995367408,0.99547255
88,0.997069657,0.99611634
89,0.994378328,0.994059026
90,0.995596647,0.995638847
91,0.994137287,0.996308804
92,0.996112347,0.997073114
93,0.994637668,0.99434489
94,0.994771779,0.996857226
95,0.996326208,0.992858827
96,0.994627595,0.996615887
97,0.994039178,0.995500267
98,0.996899843,0.993793666
99,0.994873285,0.996344268
