step,alpha_single_bin_with_pos_enc,alpha_tricosine_with_pos_enc,rot-y_single-bin_with_pos_enc,rot-y_tricosine_with_pos_enc
0,0.4835536479949951,0.4853358864784241,0.4887396991252899,0.4903891682624817
1,0.40173453092575073,0.4121210277080536,0.41154804825782776,0.41470780968666077
2,0.3582574427127838,0.3712835907936096,0.377791166305542,0.3750857710838318
3,0.32441845536231995,0.3389325439929962,0.3496517539024353,0.3429589569568634
4,0.2921781539916992,0.3083113431930542,0.32581210136413574,0.31974151730537415
5,0.26106175780296326,0.2765295207500458,0.3029133975505829,0.29716771841049194
6,0.22751891613006592,0.2450951635837555,0.2805953323841095,0.27846962213516235
7,0.19692237675189972,0.21332131326198578,0.25544020533561707,0.2589380741119385
8,0.17048507928848267,0.18648095428943634,0.22497150301933289,0.23653705418109894
9,0.14939364790916443,0.16251248121261597,0.1964498907327652,0.20736287534236908
10,0.12736591696739197,0.13671112060546875,0.16946877539157867,0.17995066940784454
11,0.11111072450876236,0.12048862129449844,0.14839032292366028,0.15115080773830414
12,0.09651061147451401,0.10644344240427017,0.1283242106437683,0.13006271421909332
13,0.08571584522724152,0.09568837285041809,0.11222802102565765,0.11173161119222641
14,0.07407912611961365,0.08265980333089828,0.09788424521684647,0.10042180120944977
15,0.06632368266582489,0.07663918286561966,0.0903201773762703,0.08619523793458939
16,0.06574121117591858,0.06912584602832794,0.079592265188694,0.07869900017976761
17,0.05640855059027672,0.06426005810499191,0.07540320605039597,0.07091433554887772
18,0.054184116423130035,0.057537950575351715,0.06759442389011383,0.06502335518598557
19,0.04799310117959976,0.05718168243765831,0.06358405947685242,0.05703837051987648
20,0.04658104106783867,0.05070893093943596,0.06250660121440887,0.05716845765709877
21,0.04281303286552429,0.0496453121304512,0.05659862235188484,0.053530365228652954
22,0.040510766208171844,0.047922283411026,0.04804767295718193,0.04811129719018936
23,0.03877255693078041,0.04165901988744736,0.04871870204806328,0.04804958775639534
24,0.037401195615530014,0.04107920080423355,0.04709642753005028,0.045713357627391815
25,0.03414265438914299,0.03637709841132164,0.044367190450429916,0.04250584542751312
26,0.03359862044453621,0.03830551356077194,0.046390414237976074,0.039534542709589005
27,0.03518635407090187,0.038197729736566544,0.03792997822165489,0.04106149449944496
28,0.029989607632160187,0.035202160477638245,0.0417042076587677,0.03571789711713791
29,0.029153866693377495,0.03359407186508179,0.038590189069509506,0.037852056324481964
30,0.02639002911746502,0.034082330763339996,0.03701149672269821,0.03537137061357498
31,0.029328789561986923,0.030428709462285042,0.03518255427479744,0.033524174243211746
