step,pred_type-alpha\alpha,pred_type-alpha\multibin,pred_type-alpha\rot_y,pred_type-alpha\single_bin,pred_type-alpha\tricosine,pred_type-alpha\voting_bin,pred_type-rot_y\multibin,pred_type-rot_y\rot_y,pred_type-rot_y\single_bin,pred_type-rot_y\tricosine,pred_type-rot_y\voting_bin
0,0.5246727466583252,0.5030428171157837,0.5001429319381714,0.5917856097221375,0.5804284811019897,0.5517420172691345,0.0439097099006176,0.49553215503692627,0.5701350569725037,0.6119005084037781,0.5888131260871887
1,0.5028585195541382,0.4505247175693512,0.49332302808761597,0.6930974721908569,0.6734878420829773,0.6419037580490112,0.048815250396728516,0.49876368045806885,0.6767377257347107,0.7029695510864258,0.6816452741622925
2,0.4900217056274414,0.4235486090183258,0.4819212555885315,0.7249375581741333,0.711008608341217,0.6918670535087585,0.04893454909324646,0.4922010004520416,0.7099890112876892,0.7309275269508362,0.7162371277809143
3,0.5007532238960266,0.4093947112560272,0.48013776540756226,0.7590546011924744,0.7369867563247681,0.7266144752502441,0.0518171600997448,0.4998815953731537,0.7388603687286377,0.7579795122146606,0.7408380508422852
4,0.5175060033798218,0.39738452434539795,0.4792448878288269,0.7868053913116455,0.7624059319496155,0.7496753334999084,0.052792321890592575,0.5112303495407104,0.7566823959350586,0.7808398604393005,0.7625323534011841
5,0.5462492108345032,0.3876890242099762,0.4921397864818573,0.8124326467514038,0.7841464877128601,0.7777794003486633,0.053675517439842224,0.532062292098999,0.7773407697677612,0.8015991449356079,0.7766224145889282
6,0.5774914026260376,0.3826605975627899,0.5180822014808655,0.8379036784172058,0.8130794167518616,0.8065206408500671,0.050291337072849274,0.5567895174026489,0.8038874864578247,0.825556755065918,0.7962692975997925
7,0.6006022691726685,0.3678322732448578,0.5405011773109436,0.8631337881088257,0.8325735926628113,0.8324122428894043,0.05384141579270363,0.5802032947540283,0.8271278738975525,0.8544084429740906,0.8184559941291809
8,0.637295663356781,0.3665284216403961,0.5626770853996277,0.8825597167015076,0.8550242781639099,0.8508763909339905,0.05535627156496048,0.6072088479995728,0.8565464615821838,0.8798330426216125,0.8422610759735107
9,0.658058226108551,0.35482752323150635,0.585912823677063,0.9042171239852905,0.8705180287361145,0.8784849047660828,0.05570819973945618,0.6286731362342834,0.8769863843917847,0.9021310210227966,0.8652735352516174
10,0.6861684322357178,0.3434661626815796,0.61045902967453,0.9089843034744263,0.8939564824104309,0.8967565298080444,0.056764569133520126,0.6489576697349548,0.8978712558746338,0.9172956943511963,0.8864989876747131
11,0.7085916996002197,0.33014822006225586,0.6300403475761414,0.9292473196983337,0.9061667323112488,0.9024326801300049,0.056701648980379105,0.6739097237586975,0.9137333035469055,0.9281574487686157,0.9049044847488403
12,0.7306374907493591,0.32432040572166443,0.646141767501831,0.9267780184745789,0.9113520383834839,0.9074012041091919,0.05901220068335533,0.6902124881744385,0.9228259921073914,0.9422225952148438,0.9179614186286926
13,0.7516784071922302,0.3202846646308899,0.6665143370628357,0.9418373703956604,0.9238733649253845,0.9116833806037903,0.0607031024992466,0.7108720541000366,0.925264835357666,0.9492838382720947,0.9280827641487122
14,0.7585386633872986,0.3140796422958374,0.6850783228874207,0.9528908133506775,0.9424669146537781,0.931397020816803,0.06111741065979004,0.7245075702667236,0.9406297206878662,0.9559232592582703,0.9378346800804138
15,0.7767614126205444,0.3029642403125763,0.7015671133995056,0.9578937292098999,0.9444887638092041,0.9451857209205627,0.05980928614735603,0.740249752998352,0.9498276114463806,0.9621703028678894,0.9491059184074402
16,0.788952648639679,0.3013375401496887,0.7141268849372864,0.9434229135513306,0.9457409381866455,0.9383600950241089,0.05994377285242081,0.7606756687164307,0.9488826990127563,0.9642695784568787,0.9557188153266907
17,0.8020786643028259,0.2994688153266907,0.7371092438697815,0.9566173553466797,0.9596664905548096,0.9568859934806824,0.05985311418771744,0.7678213119506836,0.9462423920631409,0.9683018326759338,0.9597492218017578
18,0.8099075555801392,0.2752348482608795,0.7448037266731262,0.953161358833313,0.9580912590026855,0.9557321071624756,0.0612676665186882,0.7863900065422058,0.963844895362854,0.9749114513397217,0.9613271355628967
19,0.8211659789085388,0.26480379700660706,0.7554195523262024,0.9692663550376892,0.9638095498085022,0.9650253653526306,0.06060807406902313,0.7936656475067139,0.9660990834236145,0.9735822677612305,0.9586454033851624
20,0.8255854845046997,0.26846325397491455,0.7619640827178955,0.9758409857749939,0.9603577256202698,0.968412458896637,0.06300326436758041,0.8047453165054321,0.9693014025688171,0.9775635600090027,0.9701471924781799
21,0.841313362121582,0.26727113127708435,0.7820097804069519,0.9675272107124329,0.9594623446464539,0.9747074246406555,0.06237677484750748,0.813873827457428,0.9730777144432068,0.9768736362457275,0.9714133143424988
22,0.8434251546859741,0.25632211565971375,0.7745826244354248,0.9819729924201965,0.9548177123069763,0.964372992515564,0.06269358098506927,0.8219990730285645,0.9595502614974976,0.9786387085914612,0.9733582139015198
23,0.8451780080795288,0.244766503572464,0.7868344783782959,0.9810729026794434,0.9639005661010742,0.9783769845962524,0.06274713575839996,0.8232475519180298,0.9708694219589233,0.981691837310791,0.9715039730072021
24,0.8591293096542358,0.23673506081104279,0.7910269498825073,0.9797916412353516,0.973574697971344,0.9787538051605225,0.061439987272024155,0.8324642181396484,0.9799436330795288,0.978212833404541,0.9741007685661316
25,0.853489875793457,0.24864117801189423,0.8079074025154114,0.9678335189819336,0.9801902174949646,0.9790676832199097,0.06390679627656937,0.8461971879005432,0.9500375986099243,0.9851275086402893,0.9678813815116882
26,0.8636156916618347,0.2502080202102661,0.8046707510948181,0.9793390035629272,0.984217643737793,0.979388952255249,0.06459863483905792,0.8463098406791687,0.9731712341308594,0.9812259674072266,0.9795776605606079
27,0.8596374988555908,0.24703483283519745,0.7981961369514465,0.9651233553886414,0.9581359028816223,0.9614323377609253,0.06405039876699448,0.8541639447212219,0.9796030521392822,0.9825023412704468,0.9790581464767456
28,0.878917932510376,0.23992960155010223,0.8146497011184692,0.9858621954917908,0.9720854759216309,0.9420770406723022,0.06362451612949371,0.8523315191268921,0.9835205078125,0.9848656058311462,0.977918803691864
29,0.8830790519714355,0.22520312666893005,0.8393731117248535,0.987665057182312,0.9800364375114441,0.9792985916137695,0.062027618288993835,0.8603085875511169,0.9793804287910461,0.9866073727607727,0.9745306372642517
30,0.8711380958557129,0.21504367887973785,0.838530421257019,0.9818735718727112,0.9819474816322327,0.9872855544090271,0.06271785497665405,0.8675696849822998,0.984783947467804,0.9669206142425537,0.9787786602973938
31,0.8855604529380798,0.2119961529970169,0.8364298939704895,0.98480623960495,0.9856679439544678,0.9887329339981079,0.0638287290930748,0.8667259812355042,0.9673160910606384,0.9876576066017151,0.9803379774093628
32,0.8789546489715576,0.21667072176933289,0.8378809094429016,0.9752727150917053,0.9791061878204346,0.988418459892273,0.06418929994106293,0.8647064566612244,0.9616433382034302,0.9906992316246033,0.9768065810203552
33,0.8966799378395081,0.20624814927577972,0.8542582392692566,0.9892708659172058,0.9674854874610901,0.9831023216247559,0.062369853258132935,0.8853331804275513,0.9834835529327393,0.990981936454773,0.9838458895683289
34,0.9072249531745911,0.1969217211008072,0.8433408737182617,0.9747169613838196,0.9769670963287354,0.980810821056366,0.06090310961008072,0.8878405690193176,0.9813310503959656,0.9893056750297546,0.9821986556053162
