step,logs/rot-y_tricosine_with_depth_map,logs/rot-y_single-bin_with_depth_map
0,0.466572016,0.47909385
1,0.387423724,0.396086723
2,0.347456753,0.361833751
3,0.320773214,0.32763803
4,0.297808796,0.305680364
5,0.271404445,0.279539824
6,0.245826274,0.254345268
7,0.213995665,0.225435868
8,0.182109654,0.193269983
9,0.152377203,0.164301217
10,0.130059943,0.14205803
11,0.113197967,0.123458721
12,0.102059379,0.109797798
13,0.087127328,0.106432468
14,0.076275997,0.084445044
15,0.069585331,0.077790178
16,0.063993134,0.064621538
17,0.056366786,0.071579255
18,0.05348476,0.058282897
19,0.048230644,0.053054493
20,0.049139731,0.054960322
21,0.039362408,0.04284028
22,0.042300399,0.049483296
23,0.038415618,0.056210808
24,0.037510328,0.042028476
25,0.036920622,0.033643417
26,0.029900823,0.050517879
27,0.031603053,0.027660826
28,0.033216339,0.031573262
29,0.032668032,0.029916799
30,0.028558539,0.0369142
31,0.025962014,0.029857175
32,0.026550882,0.025798246
33,0.029442804,0.029632237
34,0.025656512,0.027429227
35,0.026237294,0.029461695
36,0.02206495,0.027859464
37,0.024293805,0.024797145
38,0.025060548,0.02142749
39,0.025008805,0.028027553
40,0.020453803,0.026068117
41,0.021265894,0.020169996
42,0.021448171,0.020456752
43,0.020187039,0.023609353
44,0.022347135,0.021647647
45,0.019370466,0.024587892
46,0.02092216,0.019430025
47,0.020197861,0.015920639
48,0.020352669,0.023732655
49,0.016903045,0.020527838
50,0.014767417,0.016226292
51,0.017535524,0.019250171
52,0.020975653,0.018421132
53,0.014575474,0.020609878
54,0.017663175,0.017856592
55,0.019809207,0.018125866
56,0.016660566,0.019712809
57,0.01848248,0.018115068
58,0.018387288,0.01377437
59,0.012502656,0.014790606
60,0.013891815,0.017339924
61,0.015705148,0.018182317
62,0.019016188,0.013460787
63,0.014659775,0.014023192
64,0.016368194,0.018091362
65,0.014715145,0.015996005
66,0.016883589,0.015430159
67,0.015269401,0.016864758
68,0.0133893,0.018241286
69,0.01540432,0.013915787
70,0.014902215,0.013213111
71,0.013256258,0.014499784
72,0.011619344,0.016617421
73,0.017079603,0.014645873
74,0.012709148,0.01517666
75,0.009230866,0.011734448
76,0.009512793,0.015018631
77,0.019021161,0.014280792
78,0.013025301,0.015394855
79,0.012281613,0.034606881
80,0.014216582,0.014126437
81,0.013189287,0.012079028
82,0.010288389,0.010637072
83,0.009212004,0.00964604
84,0.01325048,0.022064153
85,0.016106484,0.012775676
86,0.010893479,0.012056427
87,0.011552322,0.013025215
88,0.008406099,0.011550965
89,0.013076741,0.015128803
90,0.01084944,0.012289059
91,0.01351392,0.011072609
92,0.010072167,0.009799289
93,0.012285202,0.015103426
94,0.012630067,0.010149102
95,0.009772372,0.017155372
96,0.012519792,0.010544226
97,0.013167736,0.012450658
98,0.008484775,0.015667997
99,0.01172231,0.010574467
