step,logs/rot-y_exp-A
0,0.4680740535259247
1,0.39593029022216797
2,0.35396236181259155
3,0.32393014430999756
4,0.2966093420982361
5,0.2756187319755554
6,0.256979376077652
7,0.23626019060611725
8,0.2155771255493164
9,0.1904521882534027
10,0.16400375962257385
11,0.14445175230503082
12,0.12417299300432205
13,0.11431942135095596
14,0.09884272515773773
15,0.09297215193510056
16,0.0972762480378151
17,0.08204986900091171
18,0.07099898159503937
19,0.06254486739635468
20,0.08847849816083908
21,0.06213992461562157
22,0.050351567566394806
23,0.046191755682229996
24,0.0452505424618721
25,0.04339016228914261
26,0.047645583748817444
27,0.04091186448931694
28,0.06276704370975494
29,0.0394023172557354
30,0.032897692173719406
31,0.05288257449865341
32,0.037675805389881134
33,0.02930859848856926
34,0.044806353747844696
35,0.04138825833797455
36,0.02581314742565155
37,0.02315927855670452
38,0.03387376293540001
39,0.0430319719016552
40,0.04433375224471092
41,0.045861538499593735
42,0.029445501044392586
43,0.020773859694600105
44,0.026288527995347977
45,0.021795017644762993
46,0.026146283373236656
47,0.02181907743215561
48,0.018022725358605385
49,0.027558287605643272
50,0.01664908602833748
51,0.04948771372437477
52,0.026512224227190018
53,0.017121510580182076
54,0.020479785278439522
55,0.015235587023198605
56,0.028288215398788452
57,0.017076455056667328
58,0.023221315816044807
59,0.0178204458206892
60,0.019662339240312576
61,0.023307666182518005
62,0.017612949013710022
63,0.01633664406836033
64,0.017592953518033028
65,0.01883736625313759
66,0.023244166746735573
67,0.019905615597963333
68,0.014730055816471577
69,0.017280064523220062
70,0.013783654198050499
71,0.016492627561092377
72,0.013050176203250885
73,0.020375322550535202
74,0.028159262612462044
75,0.017110781744122505
76,0.01654202677309513
77,0.016318734735250473
78,0.013315634801983833
79,0.017005078494548798
80,0.01931796595454216
81,0.01838141307234764
82,0.020580215379595757
83,0.01781565509736538
84,0.013733717612922192
85,0.01635901629924774
86,0.011716589331626892
87,0.01409885659813881
88,0.031949616968631744
89,0.014977261424064636
90,0.017175894230604172
91,0.012445149011909962
92,0.012392153032124043
93,0.018580805510282516
94,0.013020232319831848
95,0.0138942776247859
96,0.011398358270525932
97,0.010370803065598011
98,0.016310814768075943
99,0.011302262544631958
